Time 	 	 Temperature 	 	 Tau 
0.1 	 	 116120 	 	 	 5863.03 
0.1 	 	 61612.2 	 	 	 658.998 
0.1 	 	 201782 	 	 	 66951.8 
0.1 	 	 137254 	 	 	 15634.6 
0.1 	 	 80635.4 	 	 	 2095.38 
0.1 	 	 38080.8 	 	 	 94.3936 
0.1 	 	 81030.7 	 	 	 1960.54 
0.1 	 	 207748 	 	 	 51774.7 
0.1 	 	 61466.7 	 	 	 416.455 
0.1 	 	 93049.9 	 	 	 3818.12 
0.1 	 	 77368.5 	 	 	 2225.39 
0.1 	 	 110041 	 	 	 6306.45 
0.1 	 	 79305.6 	 	 	 1586.16 
0.1 	 	 133337 	 	 	 17826.9 
0.1 	 	 120940 	 	 	 7009.69 
0.1 	 	 49330.1 	 	 	 357.247 
0.1 	 	 49042.4 	 	 	 314.634 
0.1 	 	 50796.1 	 	 	 259.896 
0.1 	 	 37263.4 	 	 	 74.4894 
0.1 	 	 221946 	 	 	 84431.1 
0.1 	 	 51384.1 	 	 	 254.489 
0.1 	 	 99821 	 	 	 5717.93 
0.1 	 	 55532.2 	 	 	 594.286 
0.1 	 	 41349 	 	 	 56.9351 
0.1 	 	 122719 	 	 	 13001.7 
0.1 	 	 99396 	 	 	 3548.72 
0.1 	 	 91758.8 	 	 	 3049.54 
0.1 	 	 196399 	 	 	 54952.4 
0.1 	 	 84241.6 	 	 	 2108.71 
0.1 	 	 89648.9 	 	 	 1351.32 
0.1 	 	 158705 	 	 	 40579.5 
0.1 	 	 175601 	 	 	 24868.5 
0.1 	 	 154253 	 	 	 25177.2 
0.1 	 	 80832.1 	 	 	 1745.82 
0.1 	 	 94063.2 	 	 	 2670.08 
